LICENSE NUMBER,STATUS,LICENSE TYPE, ORIG. ISS. DATE, EXPIR DATE, PRIMARY OWNER, PREMISES ADDR, PREMISES CSZ,BUSNESS NAME, MAILING ADDRESS, MAILING CSZ, CENSUS TRACT, GEO CODE
98084,ACTIVE,41,1/9/81,4/30/17,PERDIX INC,1148 & 1152 TAYLOR ST,"SAN FRANCISCO, CA  94108-1916",NOB HILL CAFE,,,112,3800
524190,ACTIVE,47,11/9/12,10/31/17,"DOUBLE TAP, LLC",2243 & 2247 MARKET ST,"SAN FRANCISCO, CA  94114-1612",HI TOPS,,,203,3800
528393,ACTIVE,41,3/1/13,2/28/17,"DOGPATCH CAFE, LLC",2291 & 2295 3RD ST,"SAN FRANCISCO, CA  94107-3125",DOGPATCH CAFE,2295 3RD ST,"SAN FRANCISCO, CA  94107-3125",226,3800
535948,ACTIVE,41,1/10/14,12/31/17,I LATINA INC,3230 & 3234 22ND ST,"SAN FRANCISCO, CA  94110-3007",LOLO CEVICHERIA,3230 22ND ST,"SAN FRANCISCO, CA  94110-3007",208,3800
545331,ACTIVE,41,7/23/14,6/30/17,"SHIH, KATHY WU",3286 & 3286 1/2 MISSION ST,"SAN FRANCISCO, CA  94110-5007",ALS SUPER CAFE,3286 MISSION ST,"SAN FRANCISCO, CA  94110",253,3800
572679,ACTIVE,64,11/15/16,5/31/17,Z SPACE STUDIO THE,450 & 470 FLORIDA ST,"SAN FRANCISCO, CA  94110-1413",Z SPACE,499 ALABAMA ST #450,"SAN FRANCISCO, CA  94110-1413",228.01,3800
505001,ACTIVE,79,10/20/10,6/30/17,RAINBOW ORCHARDS INC,DIVISIDERO & GROVE ST,"SAN FRANCISCO, CA  94117",RAINBOW ORCHARDS @ DIVISIDERO CFM,2569 LARSEN DR,"CAMINO, CA  95709-9704",1233.64,3800
482425,ACTIVE,79,9/16/09,6/30/17,RAINBOW ORCHARDS INC,MARKET & NOE STREETS,"SAN FRANCISCO, CA  94114",RAINBOW ORCHARDS @ CASTRO CFM,"2569 LARSEN DR, RAINBOW ORCHARDS","CAMINO, CA  95709",203,3800
465525,ACTIVE,47,8/29/08,7/31/17,LM SAN FRANCISCO LLC,PIER 1 1/2 THE EMBARCADERO,"SAN FRANCISCO, CA  94111-2027",LA MAR CEBICHERIA PERUANA,"PO BOX 19712, C/O MICHAEL CHO, PTWWW","IRVINE, CA  92623-9712",105,3800
297350,ACTIVE,41,8/8/94,7/31/17,"ABAD, TONY",397 1/2 8TH ST,"SAN FRANCISCO, CA  94103",AK SUBS,,,178.02,3800
