GEO.id,GEO.id2,GEO.display0label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Median gross rent 00 0 Total:,Margin of Error; Median gross rent 00 0 Total:,Estimate; Median gross rent 00 0 Total: 0 No bedroom,Margin of Error; Median gross rent 00 0 Total: 0 No bedroom,Estimate; Median gross rent 00 0 Total: 0 1 bedroom,Margin of Error; Median gross rent 00 0 Total: 0 1 bedroom,Estimate; Median gross rent 00 0 Total: 0 2 bedrooms,Margin of Error; Median gross rent 00 0 Total: 0 2 bedrooms,Estimate; Median gross rent 00 0 Total: 0 3 bedrooms,Margin of Error; Median gross rent 00 0 Total: 0 3 bedrooms,Estimate; Median gross rent 00 0 Total: 0 4 bedrooms,Margin of Error; Median gross rent 00 0 Total: 0 4 bedrooms,Estimate; Median gross rent 00 0 Total: 0 5 or more bedrooms,Margin of Error; Median gross rent 00 0 Total: 0 5 or more bedrooms
1400000US36001000100,36001000100,"Census Tract 1, Albany County, New York",829,124,375,345,720,22,733,217,965,42,967,255,0,**
1400000US36001000200,36001000200,"Census Tract 2, Albany County, New York",638,86,0,**,565,149,653,164,1028,256,0,**,0,**
1400000US36001000300,36001000300,"Census Tract 3, Albany County, New York",954,48,0,**,911,65,990,142,1099,54,0,**,0,**
1400000US36001000401,36001000401,"Census Tract 4.01, Albany County, New York",1218,248,2271,989,1221,1151,1221,390,0,**,0,**,0,**
1400000US36001000403,36001000403,"Census Tract 4.03, Albany County, New York",955,35,0,**,839,44,969,35,1095,211,0,**,0,**
1400000US36001000404,36001000404,"Census Tract 4.04, Albany County, New York",0,**,0,**,0,**,0,**,0,**,0,**,0,**
1400000US36001000502,36001000502,"Census Tract 5.02, Albany County, New York",849,82,0,**,775,51,993,111,1057,455,0,**,0,**
1400000US36001000700,36001000700,"Census Tract 7, Albany County, New York",888,43,0,**,773,61,895,44,885,75,988,116,0,**
1400000US36001000800,36001000800,"Census Tract 8, Albany County, New York",721,32,722,382,545,159,742,92,927,266,0,**,0,**
