GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 years,Margin of Error; Male: - 20 years,Estimate; Male: - 21 years,Margin of Error; Male: - 21 years,Estimate; Male: - 22 to 24 years,Margin of Error; Male: - 22 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 39 years,Margin of Error; Male: - 35 to 39 years,Estimate; Male: - 40 to 44 years,Margin of Error; Male: - 40 to 44 years,Estimate; Male: - 45 to 49 years,Margin of Error; Male: - 45 to 49 years,Estimate; Male: - 50 to 54 years,Margin of Error; Male: - 50 to 54 years,Estimate; Male: - 55 to 59 years,Margin of Error; Male: - 55 to 59 years,Estimate; Male: - 60 and 61 years,Margin of Error; Male: - 60 and 61 years,Estimate; Male: - 62 to 64 years,Margin of Error; Male: - 62 to 64 years,Estimate; Male: - 65 and 66 years,Margin of Error; Male: - 65 and 66 years,Estimate; Male: - 67 to 69 years,Margin of Error; Male: - 67 to 69 years,Estimate; Male: - 70 to 74 years,Margin of Error; Male: - 70 to 74 years,Estimate; Male: - 75 to 79 years,Margin of Error; Male: - 75 to 79 years,Estimate; Male: - 80 to 84 years,Margin of Error; Male: - 80 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 years,Margin of Error; Female: - 20 years,Estimate; Female: - 21 years,Margin of Error; Female: - 21 years,Estimate; Female: - 22 to 24 years,Margin of Error; Female: - 22 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 39 years,Margin of Error; Female: - 35 to 39 years,Estimate; Female: - 40 to 44 years,Margin of Error; Female: - 40 to 44 years,Estimate; Female: - 45 to 49 years,Margin of Error; Female: - 45 to 49 years,Estimate; Female: - 50 to 54 years,Margin of Error; Female: - 50 to 54 years,Estimate; Female: - 55 to 59 years,Margin of Error; Female: - 55 to 59 years,Estimate; Female: - 60 and 61 years,Margin of Error; Female: - 60 and 61 years,Estimate; Female: - 62 to 64 years,Margin of Error; Female: - 62 to 64 years,Estimate; Female: - 65 and 66 years,Margin of Error; Female: - 65 and 66 years,Estimate; Female: - 67 to 69 years,Margin of Error; Female: - 67 to 69 years,Estimate; Female: - 70 to 74 years,Margin of Error; Female: - 70 to 74 years,Estimate; Female: - 75 to 79 years,Margin of Error; Female: - 75 to 79 years,Estimate; Female: - 80 to 84 years,Margin of Error; Female: - 80 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
1500000US060750101001,60750101001,"Block Group 1, Census Tract 101, San Francisco County, California",776,281,404,217,0,12,13,20,13,20,0,12,14,22,0,12,0,12,47,74,97,80,85,69,12,19,36,54,19,28,0,12,17,25,12,21,11,18,0,12,0,12,0,12,14,21,14,23,0,12,372,130,15,23,0,12,14,20,0,12,0,12,0,12,0,12,42,64,111,76,78,71,45,35,0,12,17,25,0,12,0,12,0,12,11,18,14,23,0,12,12,19,13,20,0,12,0,12
1500000US060750101002,60750101002,"Block Group 2, Census Tract 101, San Francisco County, California",2965,331,1647,321,33,33,79,42,12,18,11,17,7,17,50,64,0,12,205,152,139,83,276,160,115,80,167,131,125,62,27,30,13,20,43,39,51,42,62,44,0,12,62,45,65,49,91,53,14,21,1318,297,14,21,0,12,13,22,14,24,0,12,46,73,37,36,77,68,145,139,116,85,57,46,87,77,48,35,24,28,127,60,39,39,49,44,0,12,57,43,73,49,102,58,79,71,114,65
1500000US060750102001,60750102001,"Block Group 1, Census Tract 102, San Francisco County, California",1107,267,629,167,39,49,0,12,0,12,8,15,0,12,0,12,0,12,16,25,50,77,59,77,52,35,70,58,127,93,22,27,61,54,15,24,15,23,21,24,19,22,29,26,26,30,0,12,0,12,478,146,56,38,36,44,9,15,0,12,0,12,0,12,0,12,0,12,0,12,103,90,39,28,17,25,61,54,9,14,0,12,10,15,15,19,0,12,11,17,35,36,32,32,45,43,0,12
1500000US060750102002,60750102002,"Block Group 2, Census Tract 102, San Francisco County, California",1940,237,917,146,35,37,14,25,0,12,0,12,0,12,0,12,0,12,40,64,105,73,297,138,74,58,100,55,57,58,0,12,40,47,22,27,24,36,10,16,42,49,26,25,20,23,0,12,11,17,1023,170,47,63,0,12,0,12,0,12,15,25,0,12,0,12,53,73,261,113,90,58,71,73,81,45,90,70,12,19,37,33,9,15,31,48,29,27,43,35,56,41,11,18,45,54,42,48
1500000US060750102003,60750102003,"Block Group 3, Census Tract 102, San Francisco County, California",981,175,471,138,0,12,23,38,0,12,0,12,0,12,0,12,0,12,0,12,15,23,55,48,64,49,26,29,110,108,43,51,24,38,0,12,23,27,25,37,0,12,14,22,19,22,30,35,0,12,510,117,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,71,58,112,80,98,74,10,19,29,31,10,18,33,34,0,12,70,60,0,12,26,29,9,14,21,26,21,22,0,12
1500000US060750103001,60750103001,"Block Group 1, Census Tract 103, San Francisco County, California",1615,347,723,181,0,12,18,36,0,12,0,12,8,13,0,12,0,12,0,12,85,96,64,65,135,121,18,36,11,18,32,37,96,78,0,12,20,32,52,59,29,49,76,95,43,40,22,37,14,24,892,224,19,29,18,37,5,25,0,12,0,12,52,76,59,91,0,12,114,131,117,92,97,98,18,40,95,76,0,12,44,44,61,70,8,14,0,12,72,90,35,35,50,47,14,22,14,23
1500000US060750103002,60750103002,"Block Group 2, Census Tract 103, San Francisco County, California",2019,459,983,347,37,45,47,52,0,12,0,12,41,59,41,58,0,12,82,81,183,186,101,92,59,87,109,91,10,19,91,65,0,12,7,17,20,27,39,44,7,32,0,12,39,40,0,12,70,82,1036,335,100,114,36,53,0,12,12,24,0,12,0,12,0,12,419,324,42,37,107,112,57,43,20,29,82,58,0,12,14,23,0,12,40,44,0,12,7,31,0,12,16,20,62,74,22,29
1500000US060750103003,60750103003,"Block Group 3, Census Tract 103, San Francisco County, California",1095,383,662,274,100,160,0,12,0,12,0,12,0,12,0,12,0,12,50,44,108,94,18,29,85,51,23,28,0,12,33,32,75,98,24,39,0,12,10,16,0,12,55,41,10,17,19,33,52,73,433,142,0,12,8,14,0,12,0,12,0,12,0,12,0,12,0,12,89,88,38,47,0,12,0,12,51,43,24,28,16,25,16,28,25,30,0,12,16,20,28,23,10,17,0,12,112,80
1500000US060750104001,60750104001,"Block Group 1, Census Tract 104, San Francisco County, California",1060,339,750,334,17,27,0,12,61,61,0,12,0,12,0,12,0,12,31,51,196,211,99,124,84,98,0,12,123,100,16,26,0,12,16,27,12,19,0,12,0,12,95,79,0,12,0,12,0,12,310,160,0,12,15,24,15,25,26,45,0,12,0,12,14,21,18,29,0,12,38,42,0,12,0,12,48,60,49,58,14,22,0,12,26,29,23,36,0,12,24,40,0,12,0,12,0,12
