GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Never married,Margin of Error; Male: - Never married,Estimate; Male: - Now married:,Margin of Error; Male: - Now married:,"Estimate; Male: - Now married: - Married, spouse present","Margin of Error; Male: - Now married: - Married, spouse present","Estimate; Male: - Now married: - Married, spouse absent:","Margin of Error; Male: - Now married: - Married, spouse absent:","Estimate; Male: - Now married: - Married, spouse absent: - Separated","Margin of Error; Male: - Now married: - Married, spouse absent: - Separated","Estimate; Male: - Now married: - Married, spouse absent: - Other","Margin of Error; Male: - Now married: - Married, spouse absent: - Other",Estimate; Male: - Widowed,Margin of Error; Male: - Widowed,Estimate; Male: - Divorced,Margin of Error; Male: - Divorced,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Never married,Margin of Error; Female: - Never married,Estimate; Female: - Now married:,Margin of Error; Female: - Now married:,"Estimate; Female: - Now married: - Married, spouse present","Margin of Error; Female: - Now married: - Married, spouse present","Estimate; Female: - Now married: - Married, spouse absent:","Margin of Error; Female: - Now married: - Married, spouse absent:","Estimate; Female: - Now married: - Married, spouse absent: - Separated","Margin of Error; Female: - Now married: - Married, spouse absent: - Separated","Estimate; Female: - Now married: - Married, spouse absent: - Other","Margin of Error; Female: - Now married: - Married, spouse absent: - Other",Estimate; Female: - Widowed,Margin of Error; Female: - Widowed,Estimate; Female: - Divorced,Margin of Error; Female: - Divorced
1500000US060750101001,60750101001,"Block Group 1, Census Tract 101, San Francisco County, California",872,265,429,200,251,155,121,84,106,80,15,25,0,12,15,25,0,12,57,50,443,139,236,133,149,89,126,81,23,36,0,12,23,36,44,46,14,23
1500000US060750101002,60750101002,"Block Group 2, Census Tract 101, San Francisco County, California",2705,324,1473,263,734,279,499,108,461,111,38,46,38,46,0,12,0,12,240,118,1232,210,271,102,501,121,444,108,57,50,42,43,15,24,334,119,126,97
1500000US060750102001,60750102001,"Block Group 1, Census Tract 102, San Francisco County, California",1005,225,684,198,357,183,279,118,230,100,49,80,0,12,49,80,36,40,12,19,321,108,46,49,227,99,227,99,0,12,0,12,0,12,20,24,28,34
1500000US060750102002,60750102002,"Block Group 2, Census Tract 102, San Francisco County, California",1854,286,882,178,565,164,233,100,191,90,42,47,0,12,42,47,58,56,26,32,972,203,563,178,253,93,185,87,68,57,11,20,57,53,90,74,66,62
1500000US060750102003,60750102003,"Block Group 3, Census Tract 102, San Francisco County, California",1098,311,553,239,241,133,230,96,230,96,0,12,0,12,0,12,0,12,82,97,545,131,207,99,238,101,238,101,0,12,0,12,0,12,23,30,77,53
1500000US060750103001,60750103001,"Block Group 1, Census Tract 103, San Francisco County, California",1836,374,1013,222,471,235,431,149,389,147,42,68,0,12,42,68,58,56,53,46,823,256,322,193,433,152,380,145,53,59,12,19,41,44,10,16,58,48
1500000US060750103002,60750103002,"Block Group 2, Census Tract 103, San Francisco County, California",988,277,355,124,133,94,209,91,196,85,13,21,0,12,13,21,0,12,13,20,633,216,315,205,223,100,187,85,36,45,36,45,0,12,95,60,0,12
1500000US060750103003,60750103003,"Block Group 3, Census Tract 103, San Francisco County, California",1074,299,689,238,285,138,230,116,204,113,26,31,14,24,12,19,57,70,117,110,385,121,100,67,205,106,194,104,11,18,0,12,11,18,39,41,41,42
1500000US060750104001,60750104001,"Block Group 1, Census Tract 104, San Francisco County, California",779,305,571,324,421,323,115,50,115,50,0,12,0,12,0,12,17,25,18,29,208,101,56,45,138,61,119,52,19,33,0,12,19,33,14,24,0,12
1500000US060750104002,60750104002,"Block Group 2, Census Tract 104, San Francisco County, California",1334,325,661,194,366,161,266,114,246,115,20,32,0,12,20,32,0,12,29,33,673,188,310,144,293,125,243,113,50,49,49,49,1,4,33,33,37,36
1500000US060750104003,60750104003,"Block Group 3, Census Tract 104, San Francisco County, California",1445,259,646,157,254,93,322,129,307,126,15,24,0,12,15,24,0,12,70,51,799,155,320,124,288,115,288,115,0,12,0,12,0,12,29,32,162,81
1500000US060750104004,60750104004,"Block Group 4, Census Tract 104, San Francisco County, California",1079,327,528,171,317,170,136,98,136,98,0,12,0,12,0,12,0,12,75,53,551,271,357,270,163,106,138,102,25,29,0,12,25,29,0,12,31,36
1500000US060750105001,60750105001,"Block Group 1, Census Tract 105, San Francisco County, California",839,169,410,98,111,87,280,99,268,98,12,21,0,12,12,21,0,12,19,21,429,100,115,68,252,92,252,92,0,12,0,12,0,12,9,14,53,46
1500000US060750105002,60750105002,"Block Group 2, Census Tract 105, San Francisco County, California",1505,199,805,165,372,143,291,89,270,82,21,24,0,12,21,24,10,16,132,67,700,112,265,98,283,86,263,80,20,22,0,12,20,22,68,41,84,43
1500000US060750106001,60750106001,"Block Group 1, Census Tract 106, San Francisco County, California",1047,251,629,184,389,146,165,81,140,78,25,26,11,17,14,20,59,65,16,13,418,129,137,72,129,76,129,76,0,12,0,12,0,12,121,60,31,27
1500000US060750106002,60750106002,"Block Group 2, Census Tract 106, San Francisco County, California",1319,326,859,202,462,142,331,177,185,84,146,160,12,20,134,160,0,12,66,59,460,197,108,77,216,100,183,86,33,54,0,12,33,54,23,25,113,84
1500000US060750106003,60750106003,"Block Group 3, Census Tract 106, San Francisco County, California",1092,208,511,121,227,102,228,66,211,65,17,29,0,12,17,29,10,16,46,54,581,130,228,88,259,75,204,62,55,43,23,34,32,41,72,48,22,28
1500000US060750107001,60750107001,"Block Group 1, Census Tract 107, San Francisco County, California",881,224,516,190,364,181,152,93,66,62,86,64,56,47,30,48,0,12,0,12,365,113,178,80,88,75,65,61,23,37,0,12,23,37,65,53,34,34
1500000US060750107002,60750107002,"Block Group 2, Census Tract 107, San Francisco County, California",1213,369,506,151,221,101,257,123,257,123,0,12,0,12,0,12,28,44,0,12,707,266,173,129,305,137,246,120,59,67,0,12,59,67,204,120,25,31
1500000US060750107003,60750107003,"Block Group 3, Census Tract 107, San Francisco County, California",1702,449,940,287,399,217,507,197,418,188,89,64,60,57,29,47,34,39,0,12,762,229,154,97,466,196,415,186,51,64,0,12,51,64,96,63,46,42
1500000US060750107004,60750107004,"Block Group 4, Census Tract 107, San Francisco County, California",1110,279,420,138,45,43,329,137,285,131,44,51,0,12,44,51,0,12,46,54,690,202,132,91,397,156,279,129,118,85,14,22,104,81,119,81,42,46
1500000US060750108001,60750108001,"Block Group 1, Census Tract 108, San Francisco County, California",1166,343,592,238,306,214,216,91,183,87,33,36,17,26,16,25,34,38,36,33,574,200,202,120,178,86,178,86,0,12,0,12,0,12,139,71,55,55
1500000US060750108002,60750108002,"Block Group 2, Census Tract 108, San Francisco County, California",1481,367,649,244,314,155,283,133,218,106,65,80,48,75,17,27,0,12,52,71,832,221,400,194,223,107,223,107,0,12,0,12,0,12,178,76,31,35
1500000US060750108003,60750108003,"Block Group 3, Census Tract 108, San Francisco County, California",2072,387,755,254,459,195,244,116,244,116,0,12,0,12,0,12,0,12,52,50,1317,315,690,225,352,147,262,120,90,105,90,105,0,12,154,118,121,97
1500000US060750109001,60750109001,"Block Group 1, Census Tract 109, San Francisco County, California",808,214,300,114,165,94,123,77,90,74,33,34,0,12,33,34,12,20,0,12,508,178,277,166,88,69,88,69,0,12,0,12,0,12,47,45,96,69
1500000US060750109002,60750109002,"Block Group 2, Census Tract 109, San Francisco County, California",1894,429,690,173,424,149,176,80,176,80,0,12,0,12,0,12,0,12,90,69,1204,351,766,323,273,102,173,79,100,79,0,12,100,79,56,50,109,67
1500000US060750109003,60750109003,"Block Group 3, Census Tract 109, San Francisco County, California",1660,337,743,234,415,190,280,125,280,125,0,12,0,12,0,12,0,12,48,44,917,201,372,144,347,152,279,129,68,79,0,12,68,79,174,92,24,52
1500000US060750110001,60750110001,"Block Group 1, Census Tract 110, San Francisco County, California",777,388,381,257,96,86,271,258,193,192,78,113,0,12,78,113,0,12,14,25,396,152,182,86,167,155,167,155,0,12,0,12,0,12,35,33,12,20
1500000US060750110002,60750110002,"Block Group 2, Census Tract 110, San Francisco County, California",2101,480,887,372,462,304,246,121,246,121,0,12,0,12,0,12,48,62,131,116,1214,275,662,210,255,120,246,121,9,15,0,12,9,15,130,164,167,98
1500000US060750110003,60750110003,"Block Group 3, Census Tract 110, San Francisco County, California",1967,502,945,272,545,213,344,171,277,130,67,90,51,86,16,27,13,22,43,41,1022,359,446,165,345,180,266,125,79,109,0,12,79,109,35,31,196,203
1500000US060750111001,60750111001,"Block Group 1, Census Tract 111, San Francisco County, California",1746,346,986,265,640,278,256,115,214,111,42,42,14,22,28,37,0,12,90,91,760,185,434,149,214,106,214,106,0,12,0,12,0,12,25,40,87,62
1500000US060750111002,60750111002,"Block Group 2, Census Tract 111, San Francisco County, California",1890,337,880,172,466,136,253,107,233,104,20,32,0,12,20,32,24,40,137,101,1010,236,520,197,218,97,218,97,0,12,0,12,0,12,114,85,158,88
1500000US060750111003,60750111003,"Block Group 3, Census Tract 111, San Francisco County, California",1012,312,620,309,296,114,278,301,32,34,246,312,24,38,222,315,0,12,46,48,392,163,224,108,47,42,29,31,18,28,18,28,0,12,73,110,48,63
