GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median gross rent,Margin of Error; Median gross rent
1500000US060750101001,60750101001,"Block Group 1, Census Tract 101, San Francisco County, California",1861,211
1500000US060750101002,60750101002,"Block Group 2, Census Tract 101, San Francisco County, California",1367,157
1500000US060750102001,60750102001,"Block Group 1, Census Tract 102, San Francisco County, California",1825,1205
1500000US060750102002,60750102002,"Block Group 2, Census Tract 102, San Francisco County, California",2226,193
1500000US060750102003,60750102003,"Block Group 3, Census Tract 102, San Francisco County, California",2058,240
1500000US060750103001,60750103001,"Block Group 1, Census Tract 103, San Francisco County, California",1590,371
1500000US060750103002,60750103002,"Block Group 2, Census Tract 103, San Francisco County, California",2029,664
1500000US060750103003,60750103003,"Block Group 3, Census Tract 103, San Francisco County, California",2010,616
1500000US060750104001,60750104001,"Block Group 1, Census Tract 104, San Francisco County, California",2575,389
1500000US060750104002,60750104002,"Block Group 2, Census Tract 104, San Francisco County, California",1956,425
1500000US060750104003,60750104003,"Block Group 3, Census Tract 104, San Francisco County, California",2705,352
1500000US060750104004,60750104004,"Block Group 4, Census Tract 104, San Francisco County, California",1762,422
1500000US060750105001,60750105001,"Block Group 1, Census Tract 105, San Francisco County, California",1048,568
1500000US060750105002,60750105002,"Block Group 2, Census Tract 105, San Francisco County, California",2259,195
1500000US060750106001,60750106001,"Block Group 1, Census Tract 106, San Francisco County, California",1742,351
1500000US060750106002,60750106002,"Block Group 2, Census Tract 106, San Francisco County, California",696,65
1500000US060750106003,60750106003,"Block Group 3, Census Tract 106, San Francisco County, California",913,196
1500000US060750107001,60750107001,"Block Group 1, Census Tract 107, San Francisco County, California",1229,750
1500000US060750107002,60750107002,"Block Group 2, Census Tract 107, San Francisco County, California",912,291
1500000US060750107003,60750107003,"Block Group 3, Census Tract 107, San Francisco County, California",512,57
1500000US060750107004,60750107004,"Block Group 4, Census Tract 107, San Francisco County, California",510,56
1500000US060750108001,60750108001,"Block Group 1, Census Tract 108, San Francisco County, California",2608,668
1500000US060750108002,60750108002,"Block Group 2, Census Tract 108, San Francisco County, California",1284,177
1500000US060750108003,60750108003,"Block Group 3, Census Tract 108, San Francisco County, California",1581,209
1500000US060750109001,60750109001,"Block Group 1, Census Tract 109, San Francisco County, California",2364,702
1500000US060750109002,60750109002,"Block Group 2, Census Tract 109, San Francisco County, California",2069,323
1500000US060750109003,60750109003,"Block Group 3, Census Tract 109, San Francisco County, California",1737,250
1500000US060750110001,60750110001,"Block Group 1, Census Tract 110, San Francisco County, California",1270,790
1500000US060750110002,60750110002,"Block Group 2, Census Tract 110, San Francisco County, California",1701,191
1500000US060750110003,60750110003,"Block Group 3, Census Tract 110, San Francisco County, California",1515,445
1500000US060750111001,60750111001,"Block Group 1, Census Tract 111, San Francisco County, California",1570,200
1500000US060750111002,60750111002,"Block Group 2, Census Tract 111, San Francisco County, California",1476,259
1500000US060750111003,60750111003,"Block Group 3, Census Tract 111, San Francisco County, California",976,517
1500000US060750112001,60750112001,"Block Group 1, Census Tract 112, San Francisco County, California",1303,200
1500000US060750112002,60750112002,"Block Group 2, Census Tract 112, San Francisco County, California",1805,288
1500000US060750112003,60750112003,"Block Group 3, Census Tract 112, San Francisco County, California",1847,1367
1500000US060750113001,60750113001,"Block Group 1, Census Tract 113, San Francisco County, California",748,237
1500000US060750113002,60750113002,"Block Group 2, Census Tract 113, San Francisco County, California",577,462
1500000US060750117001,60750117001,"Block Group 1, Census Tract 117, San Francisco County, California",1138,194
1500000US060750117002,60750117002,"Block Group 2, Census Tract 117, San Francisco County, California",697,194
1500000US060750118001,60750118001,"Block Group 1, Census Tract 118, San Francisco County, California",598,37
1500000US060750119011,60750119011,"Block Group 1, Census Tract 119.01, San Francisco County, California",1356,539
1500000US060750119012,60750119012,"Block Group 2, Census Tract 119.01, San Francisco County, California",1602,143
1500000US060750119021,60750119021,"Block Group 1, Census Tract 119.02, San Francisco County, California",1500,111
1500000US060750119022,60750119022,"Block Group 2, Census Tract 119.02, San Francisco County, California",1125,195
1500000US060750120001,60750120001,"Block Group 1, Census Tract 120, San Francisco County, California",1139,73
1500000US060750120002,60750120002,"Block Group 2, Census Tract 120, San Francisco County, California",1192,88
1500000US060750121001,60750121001,"Block Group 1, Census Tract 121, San Francisco County, California",1410,96
1500000US060750121002,60750121002,"Block Group 2, Census Tract 121, San Francisco County, California",1279,303
1500000US060750122011,60750122011,"Block Group 1, Census Tract 122.01, San Francisco County, California",1362,54
1500000US060750122012,60750122012,"Block Group 2, Census Tract 122.01, San Francisco County, California",1046,193
1500000US060750122021,60750122021,"Block Group 1, Census Tract 122.02, San Francisco County, California",1002,116
1500000US060750123011,60750123011,"Block Group 1, Census Tract 123.01, San Francisco County, California",419,79
1500000US060750123012,60750123012,"Block Group 2, Census Tract 123.01, San Francisco County, California",971,71
1500000US060750123021,60750123021,"Block Group 1, Census Tract 123.02, San Francisco County, California",1602,137
1500000US060750123022,60750123022,"Block Group 2, Census Tract 123.02, San Francisco County, California",1016,129
1500000US060750124011,60750124011,"Block Group 1, Census Tract 124.01, San Francisco County, California",844,175
1500000US060750124012,60750124012,"Block Group 2, Census Tract 124.01, San Francisco County, California",875,154
1500000US060750124021,60750124021,"Block Group 1, Census Tract 124.02, San Francisco County, California",854,224
1500000US060750124022,60750124022,"Block Group 2, Census Tract 124.02, San Francisco County, California",2050,456
1500000US060750124023,60750124023,"Block Group 3, Census Tract 124.02, San Francisco County, California",694,211
1500000US060750125011,60750125011,"Block Group 1, Census Tract 125.01, San Francisco County, California",673,127
1500000US060750125012,60750125012,"Block Group 2, Census Tract 125.01, San Francisco County, California",495,42
1500000US060750125021,60750125021,"Block Group 1, Census Tract 125.02, San Francisco County, California",451,119
1500000US060750125022,60750125022,"Block Group 2, Census Tract 125.02, San Francisco County, California",390,75
1500000US060750126011,60750126011,"Block Group 1, Census Tract 126.01, San Francisco County, California",1813,87
1500000US060750126021,60750126021,"Block Group 1, Census Tract 126.02, San Francisco County, California",2152,172
1500000US060750126022,60750126022,"Block Group 2, Census Tract 126.02, San Francisco County, California",1984,260
1500000US060750127001,60750127001,"Block Group 1, Census Tract 127, San Francisco County, California",2035,416
1500000US060750127002,60750127002,"Block Group 2, Census Tract 127, San Francisco County, California",2143,179
1500000US060750127003,60750127003,"Block Group 3, Census Tract 127, San Francisco County, California",1573,339
1500000US060750128001,60750128001,"Block Group 1, Census Tract 128, San Francisco County, California",2213,336
1500000US060750128002,60750128002,"Block Group 2, Census Tract 128, San Francisco County, California",1965,1393
1500000US060750128003,60750128003,"Block Group 3, Census Tract 128, San Francisco County, California",2186,672
